customer id	balance
24	$85.60
43	$646.09
2	$517.17
48	$269.32
20	$566.78
43	$179.03
41	$869.49
46	$413.41
4	$338.37
35	$829.78
21	$639.98
21	$842.86
44	$130.51
20	$256.81
44	$12.81
38	$593.02
8	$936.41
38	$424.06
8	$172.56
45	$836.07
17	$502.88
7	$576.11
25	$352.95
25	$215.89
39	$764.07
49	$237.85
46	$476.80
5	$495.24
31	$620.10
12	$104.03
18	$311.79
27	$430.45
14	$777.51
12	$799.44
22	$410.87
40	$487.55
17	$741.42
3	$420.63
42	$574.81
25	$822.15
44	$147.08
15	$59.24
20	$610.26
14	$406.38
10	$781.48
34	$680.33
31	$96.59
7	$884.91
41	$997.06
1	$61.82
13	$941.14
34	$827.61
39	$289.85
29	$460.87
7	$966.21
26	$823.31
9	$560.73
50	$974.98
26	$347.84
7	$215.00
36	$840.31
15	$432.17
16	$976.68
48	$152.44
27	$752.14
25	$600.66
10	$154.51
13	$848.37
16	$14.94
35	$749.95
4	$117.06
38	$913.87
31	$201.34
26	$126.56
29	$301.24
14	$544.20
22	$60.11
21	$352.34
37	$443.88
12	$359.85
29	$667.08
25	$394.39
18	$773.51
37	$778.08
34	$742.27
8	$717.22
48	$369.71
16	$48.01
39	$209.65
9	$169.93
9	$570.35
15	$277.12
49	$454.18
49	$69.30
50	$529.46
42	$465.62
9	$86.00
18	$150.78
46	$512.25
44	$928.03
37	$94.58
26	$196.51
12	$713.43
11	$997.92
18	$685.33
33	$387.18
5	$234.05
5	$527.37
19	$884.84
27	$798.60
50	$806.55
39	$800.27
33	$153.04
11	$619.03
28	$402.95
18	$568.98
37	$705.72
1	$101.78
44	$792.30
42	$37.03
48	$119.03
28	$246.21
16	$890.22
28	$745.82
34	$556.59
5	$652.31
13	$459.01
6	$285.84
32	$955.44
15	$449.50
48	$106.10
15	$258.40
3	$996.68
13	$31.10
46	$981.85
16	$259.55
18	$458.55
15	$424.98
19	$771.52
6	$779.00
28	$261.70
39	$789.42
22	$584.46
30	$258.72
8	$168.02
25	$288.13
21	$122.40
5	$745.74
6	$441.54
3	$934.19
42	$411.39
35	$949.35
43	$783.09
7	$870.74
5	$956.62
8	$701.49
5	$580.81
37	$435.54
17	$582.86
29	$96.06
11	$30.11
24	$613.72
39	$174.09
18	$309.03
36	$983.19
9	$757.87
1	$261.92
43	$512.64
37	$531.23
32	$612.40
35	$998.76
22	$305.83
16	$257.90
15	$139.91
30	$879.58
17	$616.13
34	$82.72
42	$457.97
14	$775.28
31	$772.34
6	$162.64
24	$702.32
47	$773.77
17	$145.41
31	$921.21
50	$608.63
33	$803.91
10	$982.95
21	$736.65
43	$837.73
45	$325.42
18	$601.26
3	$416.54
2	$827.57
22	$824.12
20	$642.55
14	$979.36
36	$550.29
44	$217.98
4	$823.41
41	$728.03
5	$302.49
29	$337.46
48	$206.78
7	$826.08
27	$753.05
21	$582.59
16	$847.06
45	$337.13
49	$436.16
9	$599.95
25	$141.56
27	$495.39
25	$355.32
26	$29.27
16	$620.13
39	$182.96
38	$258.16
36	$143.64
10	$248.05
16	$27.71
5	$160.90
44	$848.67
13	$390.72
17	$958.82
6	$54.46
39	$520.11
27	$981.46
11	$253.14
4	$526.63
18	$331.12
12	$880.09
41	$103.02
35	$740.83
11	$10.05
1	$329.08
14	$538.83
14	$180.38
15	$349.99
1	$916.12
5	$338.53
26	$804.16
4	$399.59
5	$757.78
43	$30.14
16	$65.95
14	$257.42
15	$61.26
41	$176.25
5	$608.53
22	$342.89
12	$504.20
20	$587.34
32	$883.23
47	$34.33
27	$527.28
35	$786.90
28	$122.48
36	$907.15
18	$228.95
26	$710.80
1	$473.48
24	$366.20
7	$451.64
37	$953.49
33	$357.18
5	$234.02
35	$775.94
37	$458.16
37	$339.05
49	$283.45
32	$543.80
19	$649.71
7	$930.05
33	$629.33
21	$177.04
25	$83.61
15	$972.80
33	$388.63
29	$350.98
31	$76.92
35	$562.34
33	$869.24
10	$162.50
20	$885.50
21	$178.17
7	$693.47
32	$887.27
43	$322.71
5	$367.26
22	$385.01
10	$566.21
28	$457.67
49	$503.18
26	$85.92
20	$50.48
14	$47.91
26	$224.15
11	$348.97
6	$82.61
19	$901.37
48	$371.70
44	$523.55
15	$556.05
22	$906.10
33	$449.28
34	$918.41
31	$65.78
41	$228.16
41	$454.29
42	$604.87
17	$822.05
39	$398.48
16	$178.26
11	$745.01
34	$563.92
44	$312.20
13	$233.95
20	$869.62
24	$134.27
34	$153.32
18	$209.15
8	$759.61
25	$733.51
50	$129.73
41	$378.23
15	$826.30
11	$140.29
6	$495.36
20	$953.03
13	$307.16
9	$954.51
14	$329.61
25	$490.07
29	$313.91
13	$239.56
12	$458.10
26	$784.32
22	$155.30
4	$934.58
9	$461.45
41	$423.60
36	$321.18
8	$390.36
33	$126.72
44	$475.37
34	$286.24
32	$253.97
32	$948.55
9	$964.20
29	$141.80
2	$741.25
13	$888.85
34	$423.01
29	$563.74
21	$797.03
36	$829.20
47	$241.80
29	$739.02
32	$114.13
46	$478.35
46	$72.23
16	$289.05
43	$90.59
9	$773.74
42	$472.02
35	$148.76
18	$141.22
40	$534.56
3	$188.92
4	$22.99
5	$768.72
3	$673.94
3	$767.70
25	$918.72
9	$945.27
45	$208.46
16	$730.79
