customer id	balance
47	$823.89
34	$874.49
50	$57.71
25	$931.25
13	$36.00
47	$562.38
33	$937.85
1	$804.20
13	$809.94
15	$144.03
15	$841.87
34	$835.94
13	$489.47
42	$31.84
28	$212.23
44	$75.32
13	$544.85
31	$431.61
7	$857.87
37	$474.48
12	$512.59
31	$738.77
10	$612.63
1	$240.21
22	$959.24
48	$351.81
12	$303.41
48	$662.01
14	$348.17
42	$122.02
14	$428.60
41	$436.79
19	$236.83
10	$722.05
15	$453.81
13	$872.46
41	$602.90
44	$364.39
39	$508.47
11	$170.66
4	$315.53
18	$763.84
5	$714.85
1	$695.61
33	$696.36
16	$499.04
34	$964.34
6	$349.87
8	$523.95
17	$161.09
9	$139.08
47	$607.62
33	$912.75
29	$893.24
43	$69.45
24	$195.50
23	$515.47
21	$587.32
20	$12.83
18	$467.61
28	$717.46
28	$615.36
3	$951.95
32	$941.39
23	$115.59
27	$431.91
46	$242.67
24	$360.44
27	$954.49
8	$684.77
30	$173.37
29	$733.77
2	$652.31
45	$902.23
29	$71.85
5	$91.90
45	$479.75
9	$71.37
23	$375.89
40	$170.12
17	$814.57
2	$991.14
3	$407.00
43	$361.20
28	$549.26
32	$429.18
45	$746.73
26	$659.04
40	$455.70
28	$898.45
16	$265.25
26	$490.96
1	$943.01
17	$716.54
30	$946.13
47	$970.37
18	$50.74
11	$268.94
7	$742.22
44	$583.79
24	$928.51
39	$667.19
35	$943.61
47	$360.49
48	$72.73
28	$686.10
23	$57.28
49	$21.90
14	$139.67
13	$321.49
11	$398.84
25	$518.98
41	$383.86
47	$189.49
17	$565.20
48	$451.79
7	$98.39
46	$819.71
48	$521.36
14	$639.31
6	$65.90
43	$380.07
8	$781.65
19	$762.19
22	$105.05
35	$65.34
4	$467.80
33	$719.26
25	$103.22
22	$970.20
46	$934.32
30	$656.71
2	$698.36
47	$965.85
8	$373.01
17	$272.54
47	$101.13
41	$681.53
19	$577.94
35	$556.77
19	$827.50
27	$366.72
21	$760.21
9	$57.66
15	$382.55
